"Timestamp","What is your cat's name?","What are your cat's weird behaviors? Check all that apply.","What size is your cat?","What is your cat's sex?","How old is your cat?","Which of these best describes your cat?","What kind of fur does your cat have?"
"2017/03/02 10:26:38 PM PST","Dorian Gray","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Drools when happy;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Prefers men","Lorge","Male","5-10 years","Indoors","Short"
"2017/03/02 10:28:43 PM PST","Pepper","Sets belly rub traps;Loves boxes;Sprints suddenly and without reason;Hides under sheets when making bed;Prefers men;Drinks from faucet","Medium","Male","5-10 years","Indoors","Short"
"2017/03/03 10:25:12 AM PST","Nico","Sets belly rub traps;Sprints suddenly and without reason;Prefers men;Attacks toes;Loves computer keyboards;Stands on hind legs","Medium","Male","0-6 months","Indoors only","Long"
"2017/03/03 10:28:44 AM PST","Ferris","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Prefers men;Loves computer keyboards;Stares intensely at the wall;Drinks from faucet","Medium","Male","10+ years","Indoors + backyard","Short"
"2017/03/03 10:29:27 AM PST","Archie","Paws at closed doors;Sets belly rub traps;Sleeps or sits in contorted positions;Stares intensely at the wall;Freaks out about food even when there is plenty in bowl","Lorge","Male","10+ years","Indoors + backyard","Short"
"2017/03/03 10:31:14 AM PST","Veronica","Kneads / makes muffins / makes biscuits;Drools when happy;Sprints suddenly and without reason","smol","Female","5-10 years","Indoors + roams free outdoors","Short"
"2017/03/03 10:43:31 AM PST","Legs","Kneads / makes muffins / makes biscuits;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Prefers men;Attacks toes;Deliberately knocks things over;Freaks out about food even when there is plenty in bowl","Medium","Female","2-5 years","Indoors only","Short"
"2017/03/03 10:46:22 AM PST","Quincy","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Prefers men;Deliberately knocks things over;Loves computer keyboards","Medium","Male","2-5 years","Indoors + backyard","Short"
"2017/03/03 10:57:25 AM PST","O'Malley","Paws at closed doors;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves computer keyboards;Stares intensely at the wall","THICC","Other","10+ years","Indoors + roams free outdoors","Short"
"2017/03/03 12:27:47 PM PST","Charlie","Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Freaks out about food even when there is plenty in bowl","Lorge","Male","10+ years","Indoors only","Short"
